ABC-membrane-transporter	WHITE
acetyl-CoA-carboxylase	ACC
actin	ACT
alpha-globin-subunit-A	HBA
alpha-globin-subunit-D	HBD
arginine-kinase	ARGK
ATP-synthase-6	ATP6
ATPase-subunit-6	ATP6
ATPase-subunit-8	ATP8
beta-fibrinogen	FGB
beta-globin-subunit-A	HBBA
beta-tubulin	BT
bone-morphogenetic-protein-4	BMP4
brain-super-conserved-receptor	SREB
calmodulin	CAL
cellular-myelocytomatosis	CMYC
collagen-type-XIV	COL
cytochrome-b	CYTB
cytochrome-c-oxidase-1	COI
cytochrome-c-oxidase-subunit-1	COI
cytochrome-c-oxidase-subunit-1	COII
cytochrome-c-oxidase-subunit-1	COI
cytochrome-c-oxidase-subunit-2	COII
cytochrome-c-oxidase-subunit-3	COIII
cytochrome-c-oxidase-subunit-I	COI
cytochrome-c-oxidase-subunit-II	COII
cytochrome-c-oxidase-subunit-III	COIII
cytochrome-oxidase-1	COI
cytochrome-oxidase-subunit-1	COI
cytochrome-oxidase-subunit-2	COII
cytochrome-oxidase-subunit-3	COIII
cytochrome-oxidase-subunit-I	COI
cytochrome-oxidase-subunit-II	COII
cytochrome-oxidase-subunit-III	COIII
elongation-factor-1-alpha	EF1A
elongation-factor-1a	EF1A
glucose-6-phosphate-dehydrogenase	G6PD
glyceraldehyde-3-phosphate-dehydrogenase	G3PDH
heat-shock-protein-70	HSP70
histone-H3	H3
maturase	MATK
MutS-like-protein	MUTS
NADH-dehydrogenase-subunit-1	ND1
NADH-dehydrogenase-subunit-2	ND2
NADH-dehydrogenase-subunit-3	ND3
NADH-dehydrogenase-subunit-4	ND4
NADH-dehydrogenase-subunit-4L	ND4
NADH-dehydrogenase-subunit-5	ND5
NADH-dehydrogenase-subunit-6	ND6
NADH-dehydrogenase-subunit-F	NDHF
NADH-dehydrogenase-subunit-I	ND1
neurotrophin-3	NT3
oocyte-maturation-factor	CMOS
proopiomelanocortin-A	POMC
recombination-activating-protein-1	RAG1
recombination-activating-protein-2	RAG2
ribosomal-protein-S7	RPS7
"ribulose-1,5-bisphosphate-carboxylase-oxygenase-large-subunit"	RBCL
translation-elongation-factor-1-alpha	TEF1
translation-elongation-factor-1-alpha	TEF1
